gene	GSM1228184	GSM1228185	GSM1228186	GSM1228187	GSM1228188	GSM1228189	GSM1228202	GSM1228203	GSM1228204	GSM1228205	GSM1228206	GSM1228207
EPHB2	4833	5974	2172	4999	10644	4331	3602	1699	3404	3580	1981	3375
PROM1	2726	4168	2377	1389	2189	2494	2704	1303	3384	1638	2365	2108
LEF1	655	338	68	2068	255	43	50	34	85	77	129	107
MYC	18699	16514	1085	11264	5355	1108	2476	759	1626	1439	1035	1940
ASCL2	5538	4713	119	3490	3163	203	378	129	194	364	126	198
CD44	4419	10136	2572	11743	9872	2234	3738	967	4111	3023	2093	2660
LGR5	1042	2376	128	1077	95	498	206	77	164	328	174	260
OLFM4	8565	3740	33820	97788	150835	134011	1006	1311	50853	1262	1463	3273
AXIN2	3923	3893	943	10851	12141	1056	2343	841	1343	1691	756	1796
SOX9	3364	3784	991	7211	4460	2822	1748	645	1457	1806	1085	2432
100287102	1	1	0	3	2	1	0	0	1	4	2	1
653635	315	522	344	858	669	615	373	209	458	499	445	595
102466751	7	8	10	33	30	35	10	3	14	20	16	20
107985730	1	0	0	1	0	0	0	0	0	0	0	0
100302278	0	0	0	0	0	0	0	0	0	0	0	0
645520	0	1	0	0	0	0	0	0	2	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0
100996442	63	64	36	50	56	49	60	12	47	30	18	30
729737	525	456	89	90	442	231	158	58	130	87	92	134
102725121	3	1	0	7	1	0	0	1	2	3	2	1
102723897	397	589	422	944	713	630	419	238	669	579	508	608
102465909	6	8	10	29	32	26	8	2	18	17	13	15
107985721	1	1	0	1	0	0	0	1	1	0	0	1
112268260	11	17	7	20	8	12	17	3	13	15	5	8
729759	0	0	0	0	0	0	0	0	0	0	0	0
100132287	242	154	102	112	259	145	88	37	122	104	88	106
105378947	1	0	1	2	1	0	0	0	2	1	1	3
101928626	0	0	0	0	0	0	0	1	0	0	1	1
113219467	1233	650	3590	1968	2787	3963	2609	1566	4787	3018	2461	2989
81399	6	4	2	5	5	3	1	0	3	4	2	1
100133331	212	153	89	133	343	206	99	44	148	133	118	128
107984841	48	32	21	21	46	41	24	7	40	31	15	18
107984847	73	44	36	38	52	57	40	11	58	37	21	39
107984849	13	7	6	10	6	11	4	3	8	7	6	6
100288069	75	59	23	52	53	45	28	12	44	34	23	35
