Symbol	GSM225042	GSM225043	GSM225044	GSM225045	GSM225046	GSM225047	GSM230247	GSM230248	GSM230249	GSM230250	GSM230251	GSM230252	GSM230253	GSM230254	GSM230255	GSM230256	GSM230257	GSM230258	GSM230259	GSM230268	GSM230269	GSM230270	GSM230271	GSM230272	GSM230273	GSM230274	GSM230275	GSM230276	GSM230277	GSM230278	GSM230280	GSM230281	GSM230282	GSM230283	GSM230284	GSM230285	GSM230286	GSM230287	GSM230288	GSM230289	GSM230290	GSM230291	GSM230292	GSM230293	GSM230294	GSM230295	GSM230296	GSM230297	GSM230298	GSM230299	GSM230300	GSM230301	GSM230302
A1BG	5.58525172593241	5.82214899445244	5.14637963893175	5.40079714996479	5.72768565865804	5.34391758423925	6.453677368	6.519911912	5.94066572	6.016219493	6.602199113	6.253919257	5.496932256	5.860966406	6.016219493	6.118942851	5.944195914	5.852574014	5.635533046	5.223263248	5.647480928	4.743520639	5.050846363	5.506323034	5.316433547	4.150497487	4.5230533	4.198234534	4.641932107	4.506147088	6.008419635	6.290888233	5.498083389	5.824370833	6.045614715	5.62076455	4.754708791	4.926212289	4.980107789	5.178927622	4.826022242	5.981932531	6.265855445	5.49686126	5.730582113	6.051749983	5.918346273	5.53837323	5.612511129	5.194595204	5.437212781	5.231225459	5.395217117
A1BG-AS1	4.66500589008502	5.17275298569554	5.31531879493342	5.29459655726042	5.07013660014284	4.99515532843792	5.818017769	6.394602335	5.948714928	6.14550459	6.14143114	6.048932002	5.411611219	5.911214488	6.334302612	6.131901433	6.130753448	5.822289269	5.803544517	4.963154099	5.43051169	5.423727936	5.549812981	5.14727686	5.187398394	4.587474738	4.470032138	4.347372473	4.628000513	4.611677828	5.596539275	6.00652627	6.033000181	6.244254313	5.820313176	5.9163624	5.276880156	5.822414235	5.723439109	5.226194675	5.251494397	4.188481815	4.825975043	4.881985233	4.683557002	4.650880414	4.495809204	4.226422035	4.02699888	4.263122828	4.456587837	3.895661667	4.292182981
A1CF	3.23313000880759	3.18963994443889	3.87808876617869	3.4607976163838	3.3280355086975	3.44219894968957	3.8814525535	3.7778517	4.511161743	4.0571296285	3.9155307845	4.1399578825	3.611296114	3.4529735855	3.439753015	3.509598505	3.5770173685	3.4846349055	3.468441894	3.639728684	3.5973213345	4.512478129	3.869840992	3.6935462865	3.9363898475	3.457973969	3.606095829	3.2428925805	3.3211695865	3.541864682	3.754879218	3.744953898	4.5029049495	4.033529642	3.961127394	4.1533033515	3.431400744	3.3177638195	3.5080793275	3.5379747405	3.5797947475	3.4073163025	3.248506936	3.938040159	3.3772387235	3.346993325	3.6138157785	2.8973725085	2.790556639	2.8694076195	2.9096887545	2.907579731	3.094817183
A2M	3.81272321877876	4.02108206547859	5.15416096438506	4.22021651334579	4.11306262929325	5.80916961880082	5.287014054	4.4072777265	5.773089203	5.0540687265	5.0599604925	6.616644229	7.4293606765	7.616123869	7.3373844285	7.922210432	7.9199336985	7.604706647	7.697106422	4.5859478535	4.249738109	5.8136074215	4.8689945845	4.6768265015	6.502564169	7.6369919065	7.4780880185	8.0900264305	7.2476310705	7.6935814835	5.041729236	4.609238683	6.076604679	5.1408115705	5.0101433365	6.869630978	8.037495884	8.705532894	9.111300096	8.822578747	8.5772618495	3.5556831435	3.504648732	4.8844590005	3.6918903305	3.8011552235	5.8325203575	3.0816396505	3.074287415	3.107657678	3.30915853	3.0106116195	3.423990965
A2M-AS1	2.86886103342411	3.06836129782599	3.4638088268837	2.9539183101599	3.31393158752444	3.63594091774114	3.836093921	4.199373572	4.350695595	3.943892678	3.953604039	4.590399969	5.095314067	4.854851452	4.536683093	5.022936093	5.026155994	4.826362097	5.386849948	3.200229301	3.547483581	3.547483581	3.315671448	3.350821407	3.999615086	3.590856146	4.039535607	3.561671354	3.528886655	3.285312598	3.2998357	3.812593058	4.112112746	3.396120251	3.854469717	4.073385805	3.986294365	5.704943836	6.008735948	5.75767503	5.430300643	3.299416261	3.16440449	3.76791919	2.970932708	3.6058908	4.190528386	7.357506837	6.858632744	6.848778094	6.919672555	7.000555063	6.162020305
A2ML1	4.13138301201864	4.04704926047202	4.65136306119597	4.15548987971629	4.13561163854634	4.19336624759193	4.473674984	4.4477367595	5.0024454115	4.5297240475	4.567279515	4.4799787155	4.067288762	3.9549508315	4.160260047	3.986302515	3.976586664	3.9706291575	4.1217367305	4.3115583485	4.153420309	4.8441320605	4.2385983905	4.27805007	4.3267713275	4.0231163515	3.962408806	3.796403707	3.8364312015	3.912582677	4.632271013	4.4136465745	5.116349413	4.425683881	4.4980073785	4.504980349	3.9973108275	4.1645112455	4.0569043295	4.2384966135	3.8678143985	3.793887391	3.700678891	4.7144614365	3.764017569	3.7317095495	3.8427694015	3.0949763235	2.9560190555	3.2702422265	3.145987074	3.446470258	3.4732850845
A2MP1	4.30129780986394	4.34978394066944	5.4038618230833	4.29987460000522	4.09938336007979	4.54417288124093	4.076214652	4.452188241	5.10664553	4.076214652	4.003072783	4.552842372	4.063086235	4.113626425	3.69863609	4.114415463	3.997072288	3.946827064	3.704885943	4.088401756	4.239338162	5.207360079	4.074205104	3.89656113	4.223289688	4.362416485	3.973362472	3.928055848	3.356283035	3.847684722	4.170592287	4.376510796	5.429449882	4.170592287	3.846339643	4.339261926	3.73982479	3.890322511	4.117188746	4.021503639	4.249304064	3.996607589	3.98558154	4.593246777	3.83882403	3.493962995	3.986692964	3.248713273	3.277631344	3.273941733	3.464388468	3.204826692	3.519694975
A4GALT	5.7225000382268	5.96565626924672	6.80238539015785	6.4261455775206	6.0935166507195	6.01677944904178	6.506940421	6.759014393	7.416227736	7.043577483	6.853074249	6.808793252	6.019885901	6.768163352	6.902944528	6.654494097	6.944360891	6.808793252	6.889371174	6.217625301	6.248464534	6.676581656	6.649294527	6.318402651	6.250457536	6.217625301	5.507217232	6.183845753	6.124524016	5.966724008	6.72279684	6.785385827	7.451145177	7.34503238	6.803739084	6.724701949	6.363178713	6.785733644	6.300673186	6.113488117	6.065005534	5.500183799	6.010843317	6.175727445	6.160403393	5.620000402	5.850550264	5.186589522	4.935311955	5.236995035	5.002945405	5.135846335	4.881985129
A4GNT	4.15132002800296	3.80184493673781	4.18750937535454	4.11804908627536	4.03884996744519	3.85716411212837	4.189850515	3.930486268	4.353535421	4.196912855	4.055901888	4.133793823	3.718470815	3.959892698	3.80073022	3.862885234	3.858926794	3.8623321	3.821442157	4.200244414	4.100163651	4.486650994	4.46816177	4.4212361	4.167260417	4.033763104	3.947395064	4.309714167	4.063859246	4.200244414	4.499007965	4.370514373	4.610175256	4.569345412	4.697114007	4.323913037	4.26569533	4.262946242	4.147861383	4.323913037	4.22713406	3.954065087	3.531190192	3.756816421	3.699018609	3.727443507	3.530157156	3.340938095	3.406476571	3.207804537	3.588535025	3.927770353	3.641486944
AA06	4.11188781221397	4.37554855009029	4.48231395012003	4.46064641925994	4.25946800574744	4.44144289327251	5.027548394	5.269392044	5.589426046	5.150980447	5.310120529	5.489323453	4.265584494	5.027548394	4.682131692	4.732198843	4.904913324	4.807191685	5.03092409	4.921040503	5.07861359	5.205113788	4.97871548	4.97871548	5.08713097	4.442193908	5.108069368	4.952463711	4.938310778	4.898451572	4.643638	5.055869	5.16779	4.945497	5.095219	5.243679	5.281147	4.364957	4.497194	4.906062	4.852684	4.382471662	4.358394431	4.63870181	4.424598971	4.589947528	4.850533989	3.982106467	3.569529779	4.104240122	4.491613419	4.338973677	4.018104629
AAAS	7.56541085231825	7.07496778897683	7.53486168245192	7.53395555716198	7.35498524417942	7.15723281530984	8.184982454	7.563335042	8.273353166	8.067445171	7.9345834	7.461371551	7.432426206	7.840193926	7.722323955	7.952765196	7.978311193	7.537226653	7.641168151	8.235550893	7.932206933	8.038702554	8.185240842	8.05152091	7.566100644	5.928062686	6.330773303	6.074763064	6.293120192	5.617014666	8.242165814	7.849219412	8.298325744	8.306329779	8.065892702	7.598607746	5.950071707	6.625606636	6.239656389	6.330870163	6.184721098	7.667752294	7.091365727	7.465113585	7.34443229	7.455161579	7.020397569	5.730530253	5.585830523	5.807991589	5.731316638	5.302262179	6.08628989
AACS	8.03064141642394	7.67403994762742	4.91424789138578	6.82511635753618	6.7291082766961	5.67016363814974	8.852101495	8.431209098	5.644869759	7.385369536	7.670280754	6.535328668	7.898107714	10.85277961	10.56610546	7.96044934	7.668108241	7.748076851	7.980633903	9.023956372	8.627572077	5.105913048	7.172296488	7.357178815	6.079775836	6.975447165	6.70176951	7.308551985	8.070127087	6.287004952	9.282759675	8.778090424	5.608248698	7.412413203	7.438379721	6.297828838	8.058304899	7.069561013	7.508369944	7.438379721	7.438379721	8.337766771	7.923414368	4.606599001	6.675365818	7.112221567	5.628114359	5.852894313	6.30092185	5.979320718	6.292467947	6.125555946	5.519370148
AACSP1	3.71306023381703	3.47731143780004	3.781978695923	3.42843753735396	3.26231732590888	3.64982681507338	4.088622744	4.038797012	4.801838726	3.812891706	3.742630589	4.009532448	3.955622652	3.799316723	3.985098459	4.421943874	3.902148777	3.934285404	3.914616007	3.614209515	3.454510557	3.870083775	3.192017465	2.989080444	3.170433383	3.170433383	3.157045734	3.170433383	3.170433383	3.079528293	3.980444489	3.821799452	4.262559808	3.56546081	3.375566203	3.56546081	3.591715618	3.546476915	3.459555014	3.503556997	3.522988598	3.251297961	3.097385549	3.465222101	2.940669632	2.684765164	2.948161442	2.824899944	3.109346512	2.796625995	2.746049353	2.915855205	2.991494793
AADAC	4.10728056836296	3.82885755875361	4.61452828790057	4.17189173884735	4.11258797020216	3.95312840460374	4.588264624	4.438408353	5.210569965	4.696425671	4.696425671	4.660471916	4.676234227	4.713807528	5.440943248	4.514244114	4.517938213	4.629201339	4.485611585	4.414193132	4.162902689	5.044128582	4.51552618	4.51552618	4.51552618	4.481711908	4.53207695	4.028622192	4.591092499	4.802368234	4.55320861	4.376510796	4.974568234	4.733487351	4.785146042	4.465047369	4.665595702	4.291827946	4.107744778	4.438441629	4.242660419	3.728042993	3.611583169	4.249185196	3.876856218	3.827984106	3.859161551	3.32096152	3.428874083	3.402350176	3.419571193	3.492854549	3.477416211
AADACL2	2.56358737164301	2.75781108063152	2.94021055826072	2.46648479642043	2.65783953931675	2.5670642187196	3.212684695	3.176523471	3.446224209	3.104137719	3.25753029	3.226772789	3.174119481	3.306601993	3.239807726	3.111547249	3.25357191	3.323066998	3.188241882	2.74133197	2.75299389	3.124385139	2.637927447	2.74133197	2.652366152	2.74133197	2.868103278	2.691324961	2.790883198	2.70811261	2.828574402	3.038584953	3.102057414	2.812388778	2.878924257	2.843989356	2.777046638	2.724051132	2.893749591	2.916804922	2.881431293	2.465148618	2.54178582	2.730911528	2.397582068	2.588101179	2.474633595	2.58812218	2.542235006	2.580515391	2.535868348	2.399104391	2.879399693
