group1	group2
H1_ESC_GFP_breast_epithelial	normal_breast_or_normal_breast_organoid
H1_EB_GFP_breast_epithelial	normal_breast_or_normal_breast_organoid
H1_BC_GFP_breast_epithelial	normal_breast_or_normal_breast_organoid
H9_ESC_breast_epithelial	normal_breast_or_normal_breast_organoid
H9_EB_breast_epithelial	normal_breast_or_normal_breast_organoid
H9_BC_breast_epithelial	normal_breast_or_normal_breast_organoid
H1_ESC_GFP_endothelial	endothelial_cells
H1_EB_GFP_endothelial	endothelial_cells
H1_BC_GFP_endothelial	endothelial_cells
H9_ESC_endothelial	endothelial_cells
H9_EB_endothelial	endothelial_cells
H9_BC_endothelial	endothelial_cells
H1_ESC_GFP_stromal_cell	Prostate_stromal_fibromuscular_cells
H1_EB_GFP_stromal_cell	Prostate_stromal_fibromuscular_cells
H1_BC_GFP_stromal_cell	Prostate_stromal_fibromuscular_cells
H9_ESC_stromal_cell	Prostate_stromal_fibromuscular_cells
H9_EB_stromal_cell	Prostate_stromal_fibromuscular_cells
H9_BC_stromal_cell	Prostate_stromal_fibromuscular_cells
H1_ESC_GFP_leukocyte	leukocyte
H9_ESC_leukocyte	leukocyte
H1_EB_GFP_leukocyte	leukocyte
H1_BC_GFP_leukocyte	leukocyte
H9_EB_leukocyte	leukocyte
H9_BC_leukocyte	leukocyte
