Sample	Source	Group
GSM225042	GSM225042_H1_ESC_GFP_rep1	H1_ESC_GFP
GSM225043	GSM225043_H1_EB_GFP_rep1	H1_EB_GFP
GSM225044	GSM225044_H1_BC_GFP_rep1	H1_BC_GFP
GSM225045	GSM225045_H9_ESC_rep1	H9_ESC
GSM225046	GSM225046_H9_EB_rep1	H9_EB
GSM225047	GSM225047_H9_BC_rep1	H9_BC
GSM230247	GSM230247_H1_ESC_GFP_breast_epithelial_rep1	H1_ESC_GFP_breast_epithelial
GSM230248	GSM230248_H1_EB_GFP_breast_epithelial_rep1	H1_EB_GFP_breast_epithelial
GSM230249	GSM230249_H1_BC_GFP_breast_epithelial_rep1	H1_BC_GFP_breast_epithelial
GSM230250	GSM230250_H9_ESC_breast_epithelial_rep1	H9_ESC_breast_epithelial
GSM230251	GSM230251_H9_EB_breast_epithelial_rep1	H9_EB_breast_epithelial
GSM230252	GSM230252_H9_BC_breast_epithelial_rep1	H9_BC_breast_epithelial
GSM230253	GSM230253_normal_breast_or_normal_breast_organoid_rep1	normal_breast_or_normal_breast_organoid
GSM230254	GSM230254_normal_breast_or_normal_breast_organoid_rep2	normal_breast_or_normal_breast_organoid
GSM230255	GSM230255_normal_breast_or_normal_breast_organoid_rep3	normal_breast_or_normal_breast_organoid
GSM230256	GSM230256_normal_breast_or_normal_breast_organoid_rep4	normal_breast_or_normal_breast_organoid
GSM230257	GSM230257_normal_breast_or_normal_breast_organoid_rep5	normal_breast_or_normal_breast_organoid
GSM230258	GSM230258_normal_breast_or_normal_breast_organoid_rep6	normal_breast_or_normal_breast_organoid
GSM230259	GSM230259_normal_breast_or_normal_breast_organoid_rep7	normal_breast_or_normal_breast_organoid
GSM230268	GSM230268_H1_ESC_GFP_endothelial_rep1	H1_ESC_GFP_endothelial
GSM230269	GSM230269_H1_EB_GFP_endothelial_rep1	H1_EB_GFP_endothelial
GSM230270	GSM230270_H1_BC_GFP_endothelial_rep1	H1_BC_GFP_endothelial
GSM230271	GSM230271_H9_ESC_endothelial_rep1	H9_ESC_endothelial
GSM230272	GSM230272_H9_EB_endothelial_rep1	H9_EB_endothelial
GSM230273	GSM230273_H9_BC_endothelial_rep1	H9_BC_endothelial
GSM230274	GSM230274_endothelial_cells_rep1	endothelial_cells
GSM230275	GSM230275_endothelial_cells_rep2	endothelial_cells
GSM230276	GSM230276_endothelial_cells_rep3	endothelial_cells
GSM230277	GSM230277_endothelial_cells_rep4	endothelial_cells
GSM230278	GSM230278_endothelial_cells_rep5	endothelial_cells
GSM230280	GSM230280_H1_ESC_GFP_stromal_cell_rep1	H1_ESC_GFP_stromal_cell
GSM230281	GSM230281_H1_EB_GFP_stromal_cell_rep1	H1_EB_GFP_stromal_cell
GSM230282	GSM230282_H1_BC_GFP_stromal_cell_rep1	H1_BC_GFP_stromal_cell
GSM230283	GSM230283_H9_ESC_stromal_cell_rep1	H9_ESC_stromal_cell
GSM230284	GSM230284_H9_EB_stromal_cell_rep1	H9_EB_stromal_cell
GSM230285	GSM230285_H9_BC_stromal_cell_rep1	H9_BC_stromal_cell
GSM230286	GSM230286_Prostate_stromal_fibromuscular_cells_rep1	Prostate_stromal_fibromuscular_cells
GSM230287	GSM230287_Prostate_stromal_fibromuscular_cells_rep2	Prostate_stromal_fibromuscular_cells
GSM230288	GSM230288_Prostate_stromal_fibromuscular_cells_rep3	Prostate_stromal_fibromuscular_cells
GSM230289	GSM230289_Prostate_stromal_fibromuscular_cells_rep4	Prostate_stromal_fibromuscular_cells
GSM230290	GSM230290_Prostate_stromal_fibromuscular_cells_rep5	Prostate_stromal_fibromuscular_cells
GSM230291	GSM230291_H1_ESC_GFP_leukocyte_rep1	H1_ESC_GFP_leukocyte
GSM230292	GSM230292_H1_EB_GFP_leukocyte_rep1	H1_EB_GFP_leukocyte
GSM230293	GSM230293_H1_BC_GFP_leukocyte_rep1	H1_BC_GFP_leukocyte
GSM230294	GSM230294_H9_ESC_leukocyte_rep1	H9_ESC_leukocyte
GSM230295	GSM230295_H9_EB_leukocyte_rep1	H9_EB_leukocyte
GSM230296	GSM230296_H9_BC_leukocyte_rep1	H9_BC_leukocyte
GSM230297	GSM230297_leukocyte_rep1	leukocyte
GSM230298	GSM230298_leukocyte_rep2	leukocyte
GSM230299	GSM230299_leukocyte_rep3	leukocyte
GSM230300	GSM230300_leukocyte_rep4	leukocyte
GSM230301	GSM230301_leukocyte_rep5	leukocyte
GSM230302	GSM230302_leukocyte_rep6	leukocyte
