Symbol	GSM364903	GSM364904	GSM364905	GSM364906
0610005C13Rik	-1.724778	1.61789	-0.20169255	0.367542
0610007C21Rik	0.090677634	-0.239684	0.4423175	-0.50643
0610007L01Rik	0.07918807	-0.1463076	-0.37892182	0.3198785
0610007N19Rik	-0.47047806	0.418224	0.034660116	-0.0677573
0610007P08Rik	0.43695673	-0.18383725	0.1994876875	-0.23581925
0610007P14Rik	0.6169147	-0.820643	0.08705423	-0.212163
0610007P22Rik	0.5223738	-0.458518	0.48134577	-0.516648
0610008F07Rik	-1.0373882	0.909045	-1.6408466	1.84637
0610009B14Rik	1.6194735	-2.21644	3.1357927	-2.40817
0610009B22Rik	0.378293475	0.04974565	0.47420527	-0.1249145
0610009D07Rik	0.46207574	-0.384273	-0.291912415	0.6926425
0610009K14Rik	0	0	0	0
0610009L18Rik	0.528923	-0.282531	0.9397419	-0.431343
0610009O20Rik	-0.02463391	0.346946513333333	-0.275685806666667	0.703651233333333
0610010F05Rik	1.08382054666667	-0.830699	0.65166691	-0.641071666666667
0610010K14Rik	-0.19767416	0.371585	0.18148789	0.108983
0610010O12Rik	-0.002863944	0.105265	0.4883656	0.0369247
0610011F06Rik	0.002050639	-0.432228	0.26494837	-0.363835
0610011L14Rik	-0.35518557	0.3122025	-0.49941042	0.400094
0610012E21Rik	0	0	0	0
0610012G03Rik	-0.108818167	0.04741568	-0.39044143	0.31020205
0610012H03Rik	-0.23621036	0.0472954	0.53701466	-0.0175617
0610030E20Rik	0.149510971666667	-0.0146854	-0.58129812	0.507406
0610031J06Rik	-0.10820425	0.0166172	-0.1539908	-0.105436
0610037L13Rik	-0.284239195	0.336279	0.013841733	0.21595775
0610037L18Rik	0	0	0	0
0610037P05Rik	0	0	0	0
0610039H22Rik	-0.028499425	-0.35897805	0.71123883	-0.4709405
0610039K10Rik	0.07548388	0.418106	0.50724816	0.893388
0610040A22Rik	0	0	-0.057010755	0
0610040B10Rik	0.6996329	-0.55882935	0.52036565	-0.578925
0610040J01Rik	0.2370372	-0.294097	0.4353362	-0.216841
0610042G04Rik	1.038383	-1.44652	1.217579	-1.4249
0710001D07Rik	0.3962136	-0.405652	0.6581235	-0.617963
0910001L09Rik	-0.1931674	0.09919	-0.06075601	0.0441404
1100001G20Rik	0	0.139993	0	0
1110001A16Rik	0.037072334	0.40794	0.6088887	0.134624
1110001J03Rik	-0.021166233	0.437959	0.017125286	-0.0208258
1110001M07Rik	0	0	0	0
1110002B05Rik	0.22814213	0.188832	0.60896486	0.0512106
1110002L01Rik	0	0	0	0
1110002N22Rik	0.06070099	-0.0598225	0.11049217	-0.0328903
1110003E01Rik	0.228176863333333	-0.064924	0.185262034	0.0741093333333333
1110003F10Rik	0	0	-0.042629655	-0.149229
