Geneid	GSM1842140	GSM1842141	GSM1842142	GSM1842143	GSM1842144	GSM1842145	GSM1842146	GSM1842147	GSM1842148	GSM1842149	GSM1842150	GSM1842151	GSM1842152	GSM1842153	GSM1842154
ENSMUSG00000102693	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	4	22	76	158	141	89	60	2	6	0	0	0	0	45	24
ENSMUSG00000102851	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	5	2	0	0	0	0	0	0	0	0	0	0	12	0
ENSMUSG00000104017	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	2	6	0	0	4	0	0	0	0	0	18	0	0	53	0
ENSMUSG00000103161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0
ENSMUSG00000025900	3	7	18	0	6	9	16	0	0	0	0	0	0	9	0
ENSMUSG00000102948	3	2	0	0	0	2	0	0	0	0	0	0	0	2	0
ENSMUSG00000104123	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	45	22	24	128	53	78	26	0	0	0	0	0	0	0	0
ENSMUSG00000104238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	0	19	7	0	0	0	0	0	0	0	0	0	0	10	0
ENSMUSG00000118917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	1	5	0	2	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000102735	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000098104	31	34	16	65	19	22	17	97	49	68	202	98	49	623	84
ENSMUSG00000102175	0	4	2	4	2	3	0	0	0	0	0	0	0	14	0
ENSMUSG00002075947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103922	163	180	110	245	106	222	186	53	58	52	147	160	8	605	77
ENSMUSG00000033845	1990	1910	1285	2766	1217	1538	1606	845	562	494	882	1741	392	6401	888
ENSMUSG00000102275	19	12	7	9	4	2	0	6	6	18	0	0	0	59	10
ENSMUSG00000120403	0	1	4	5	2	0	0	0	0	0	0	0	0	4	0
ENSMUSG00000025903	1669	1763	1212	2274	1256	1422	1575	1340	1009	587	1595	2512	592	10014	1150
ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813	3568	4164	1998	4259	3010	2458	2313	1885	1340	972	2209	2479	561	12081	1620
ENSMUSG00000062588	127	98	60	117	76	49	43	15	12	2	8	54	0	201	19
ENSMUSG00000103280	51	42	20	23	32	12	2	37	37	9	48	0	40	308	48
ENSMUSG00000002459	435	484	29	368	205	11	25	314	280	223	215	776	197	3002	397
ENSMUSG00000091305	0	2	0	1	2	0	0	0	0	0	0	0	0	9	0
ENSMUSG00000102653	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ENSMUSG00000085623	0	8	3	0	0	0	0	0	0	0	0	0	0	35	0
ENSMUSG00000091665	0	2	0	0	0	0	0	8	0	0	0	0	0	0	0
ENSMUSG00000033793	2298	2609	2351	3200	2066	2524	2272	1911	1401	1516	2328	3393	2534	15090	1947
ENSMUSG00000104352	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	0	0	2	0	0	0	0	0	0	8	0
ENSMUSG00000102907	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	2	17	6	0	4	6	0	0	0	0	0	0	0	6	0
ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002076544	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	2	0	2	0	2	0	0	0	0	0	0	0	0	2	1
ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000090031	117	129	95	120	62	71	53	58	32	34	70	0	80	599	42
ENSMUSG00000025907	2432	2859	2637	2926	2932	2945	2153	1889	1712	1240	2660	1994	1118	14650	1937
ENSMUSG00000087247	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103355	0	0	1	0	0	0	1	0	0	2	0	0	0	1	2
ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000103845	19	26	14	26	4	16	11	3	15	9	18	97	52	80	8
ENSMUSG00000033740	4	13	5	7	0	0	0	2	4	36	8	0	0	52	7
ENSMUSG00000103329	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	6	5	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	40	36	26	45	18	9	23	6	5	0	0	4	2	27	4
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	1	0	0	0	0	0	0	0	0	0	0	0	8	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000120372	6	4	10	19	2	0	0	4	0	0	0	0	0	6	2
ENSMUSG00000051285	1229	1439	1750	2096	1974	2351	1621	1363	1091	1726	1849	1741	1092	11416	1471
ENSMUSG00000098201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103509	34	46	68	41	83	105	34	31	36	66	49	78	22	412	54
ENSMUSG00000048538	64	32	15	62	51	33	19	4	14	2	12	4	2	232	24
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000097797	40	31	5	32	18	21	11	10	3	22	42	0	0	79	9
ENSMUSG00000103498	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	4	0	1	0	2	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	7	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000025909	4	14	30	18	12	14	22	12	0	0	12	0	0	12	2
ENSMUSG00000102647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086235	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102253	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00002074990	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	394	283	116	583	160	100	190	26	24	24	10	64	0	145	8
ENSMUSG00000103933	7	9	6	6	4	1	2	0	0	0	0	0	0	8	0
ENSMUSG00002075967	2	1	2	1	2	2	0	2	2	0	0	0	0	0	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102316	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102871	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	1	2	2	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	2	5	6	10	2	4	4	0	6	0	0	0	0	2	3
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	0	2	0	0	1	2	4	0	0	0	0	0	0	2	0
ENSMUSG00000061024	1370	1747	1701	2186	1394	2031	1503	1363	873	442	1282	1962	182	9027	1061
ENSMUSG00000025911	34	38	456	350	200	971	888	40	20	12	18	89	8	329	22
ENSMUSG00000079671	8	17	34	28	28	65	59	12	8	0	0	28	0	76	10
ENSMUSG00000081441	46	51	13	18	9	2	14	1	3	0	0	0	0	15	1
ENSMUSG00000067879	14	13	8	2	9	0	4	2	0	0	0	0	0	19	4
ENSMUSG00000099827	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	443	584	388	704	656	475	349	816	389	226	957	1423	34	4252	512
ENSMUSG00000045210	1967	2468	1985	2448	2563	2458	1827	1418	1230	791	1899	2549	772	10859	1293
