Sample	Source	Group
GSM1842140	GSM1842140_Fetal_mammary_cells_EpCAM_pos_rep1	Fetal_mammary_cells_EpCAM_pos
GSM1842141	GSM1842141_Fetal_mammary_cells_EpCAM_pos_rep2	Fetal_mammary_cells_EpCAM_pos
GSM1842142	GSM1842142_Fetal_mammary_cells_EpCAM_neg_rep1	Fetal_mammary_cells_EpCAM_neg
GSM1842143	GSM1842143_Fetal_mammary_cells_CD24_pos_rep1	Fetal_mammary_cells_CD24_pos
GSM1842144	GSM1842144_Fetal_mammary_cells_CD24_pos_rep2	Fetal_mammary_cells_CD24_pos
GSM1842145	GSM1842145_Fetal_mammary_cells_CD24_low_rep1	Fetal_mammary_cells_CD24_low
GSM1842146	GSM1842146_Fetal_mammary_cells_CD24_low_rep2	Fetal_mammary_cells_CD24_low
GSM1842147	GSM1842147_uninfected_rep1	uninfected
GSM1842148	GSM1842148_Sox10_Infected_no_Dox_rep1	Sox10_Infected_no_Dox
GSM1842149	GSM1842149_Sox10_Infected_Dox_Venus_pos_rep1	Sox10_Infected_Dox_Venus_pos
GSM1842150	GSM1842150_Sox10_Infected_Dox_Venus_neg_rep1	Sox10_Infected_Dox_Venus_neg
GSM1842151	GSM1842151_uninfected_rep2	uninfected
GSM1842152	GSM1842152_Sox10_Infected_Dox_Venus_pos_rep2	Sox10_Infected_Dox_Venus_pos
GSM1842153	GSM1842153_Sox10_Infected_Dox_Venus_neg_rep2	Sox10_Infected_Dox_Venus_neg
GSM1842154	GSM1842154_Sox10_Infected_no_Dox_rep2	Sox10_Infected_no_Dox
