geneSymbol	CellType	Source
ACCSL	1-cell stage cell (Blastomere): Embryo	CellMarker
ACVR1B	1-cell stage cell (Blastomere): Embryo	CellMarker
ARHGEF16	1-cell stage cell (Blastomere): Embryo	CellMarker
ASF1B	1-cell stage cell (Blastomere): Embryo	CellMarker
BCL2L10	1-cell stage cell (Blastomere): Embryo	CellMarker
BLCAP	1-cell stage cell (Blastomere): Embryo	CellMarker
BNIP1	1-cell stage cell (Blastomere): Embryo	CellMarker
USB1	1-cell stage cell (Blastomere): Embryo	CellMarker
C1orf210	1-cell stage cell (Blastomere): Embryo	CellMarker
C1orf226	1-cell stage cell (Blastomere): Embryo	CellMarker
GUCD1	1-cell stage cell (Blastomere): Embryo	CellMarker
CNOT11	1-cell stage cell (Blastomere): Embryo	CellMarker
CASC3	1-cell stage cell (Blastomere): Embryo	CellMarker
CIAPIN1	1-cell stage cell (Blastomere): Embryo	CellMarker
CLEC10A	1-cell stage cell (Blastomere): Embryo	CellMarker
DCLK2	1-cell stage cell (Blastomere): Embryo	CellMarker
DHCR7	1-cell stage cell (Blastomere): Embryo	CellMarker
DMRTB1	1-cell stage cell (Blastomere): Embryo	CellMarker
DPF2	1-cell stage cell (Blastomere): Embryo	CellMarker
DUSP7	1-cell stage cell (Blastomere): Embryo	CellMarker
FDFT1	1-cell stage cell (Blastomere): Embryo	CellMarker
FTL	1-cell stage cell (Blastomere): Embryo	CellMarker
GRB7	1-cell stage cell (Blastomere): Embryo	CellMarker
H1FOO	1-cell stage cell (Blastomere): Embryo	CellMarker
INTS9	1-cell stage cell (Blastomere): Embryo	CellMarker
KLF11	1-cell stage cell (Blastomere): Embryo	CellMarker
KLHDC3	1-cell stage cell (Blastomere): Embryo	CellMarker
MKNK1	1-cell stage cell (Blastomere): Embryo	CellMarker
NECAP2	1-cell stage cell (Blastomere): Embryo	CellMarker
NA	1-cell stage cell (Blastomere): Embryo	CellMarker
PPIL2	1-cell stage cell (Blastomere): Embryo	CellMarker
RNF10	1-cell stage cell (Blastomere): Embryo	CellMarker
SDCCAG8	1-cell stage cell (Blastomere): Embryo	CellMarker
SHMT2	1-cell stage cell (Blastomere): Embryo	CellMarker
SKP2	1-cell stage cell (Blastomere): Embryo	CellMarker
STARD7	1-cell stage cell (Blastomere): Embryo	CellMarker
STK38	1-cell stage cell (Blastomere): Embryo	CellMarker
TMEM163	1-cell stage cell (Blastomere): Embryo	CellMarker
TNFSF13	1-cell stage cell (Blastomere): Embryo	CellMarker
