geneSymbol	CellType	Source
CTRB1	Acinar cells: Pancreas	PanglaoDB
KLK1	Acinar cells: Pancreas	PanglaoDB
RBPJL	Acinar cells: Pancreas	PanglaoDB
PTF1A	Acinar cells: Pancreas	PanglaoDB
TRY4	Acinar cells: Pancreas	PanglaoDB
CELA3A	Acinar cells: Pancreas	PanglaoDB
PRSS1	Acinar cells: Pancreas	PanglaoDB
AMY2A2	Acinar cells: Pancreas	PanglaoDB
SPINK1	Acinar cells: Pancreas	PanglaoDB
ZG16	Acinar cells: Pancreas	PanglaoDB
CEL	Acinar cells: Pancreas	PanglaoDB
CELA2A	Acinar cells: Pancreas	PanglaoDB
AMY2A3	Acinar cells: Pancreas	PanglaoDB
CPB1	Acinar cells: Pancreas	PanglaoDB
CELA1	Acinar cells: Pancreas	PanglaoDB
AMY2A5	Acinar cells: Pancreas	PanglaoDB
RNASE1	Acinar cells: Pancreas	PanglaoDB
AMY2B	Acinar cells: Pancreas	PanglaoDB
CPA2	Acinar cells: Pancreas	PanglaoDB
CPA1	Acinar cells: Pancreas	PanglaoDB
CELA3B	Acinar cells: Pancreas	PanglaoDB
PNLIP	Acinar cells: Pancreas	PanglaoDB
PLA2G1B	Acinar cells: Pancreas	PanglaoDB
PRSS2	Acinar cells: Pancreas	PanglaoDB
CLPS	Acinar cells: Pancreas	PanglaoDB
SYCN	Acinar cells: Pancreas	PanglaoDB
PNLIPRP1	Acinar cells: Pancreas	PanglaoDB
CTRC	Acinar cells: Pancreas	PanglaoDB
REG3A	Acinar cells: Pancreas	PanglaoDB
PRSS3	Acinar cells: Pancreas	PanglaoDB
CFB	Acinar cells: Pancreas	PanglaoDB
GDF15	Acinar cells: Pancreas	PanglaoDB
MUC1	Acinar cells: Pancreas	PanglaoDB
DUOXA2	Acinar cells: Pancreas	PanglaoDB
OLFM4	Acinar cells: Pancreas	PanglaoDB
GSTA1	Acinar cells: Pancreas	PanglaoDB
LGALS2	Acinar cells: Pancreas	PanglaoDB
