KO	Pathway
K00001	hsa00010
K00002	hsa00010
K00016	hsa00010
K00114	hsa00010
K00121	hsa00010
K00128	hsa00010
K00129	hsa00010
K00131	hsa00010
K00134	hsa00010
K00138	hsa00010
K00149	hsa00010
K00150	hsa00010
K00161	hsa00010
K00162	hsa00010
K00163	hsa00010
K00169	hsa00010
K00170	hsa00010
K00171	hsa00010
K00172	hsa00010
K00174	hsa00010
K00175	hsa00010
K00189	hsa00010
K00382	hsa00010
K00627	hsa00010
K00844	hsa00010
K00845	hsa00010
K00850	hsa00010
K00873	hsa00010
K00886	hsa00010
K00895	hsa00010
K00918	hsa00010
K00927	hsa00010
K01006	hsa00010
K01007	hsa00010
K01084	hsa00010
K01085	hsa00010
K01086	hsa00010
K01222	hsa00010
K01223	hsa00010
K01568	hsa00010
K01596	hsa00010
K01610	hsa00010
K01622	hsa00010
K01623	hsa00010
K01624	hsa00010
K01689	hsa00010
K01785	hsa00010
K01792	hsa00010
K01803	hsa00010
K01810	hsa00010
K01834	hsa00010
K01835	hsa00010
K01837	hsa00010
K01895	hsa00010
K01905	hsa00010
K01913	hsa00010
K02446	hsa00010
K02753	hsa00010
K02777	hsa00010
K02779	hsa00010
K02791	hsa00010
K03103	hsa00010
K03737	hsa00010
K03841	hsa00010
K04022	hsa00010
K04041	hsa00010
K04072	hsa00010
K06859	hsa00010
K08074	hsa00010
K10705	hsa00010
K11389	hsa00010
K11532	hsa00010
K11645	hsa00010
K12406	hsa00010
K12407	hsa00010
K12957	hsa00010
K13810	hsa00010
K13951	hsa00010
K13952	hsa00010
K13953	hsa00010
K13954	hsa00010
K13979	hsa00010
K13980	hsa00010
K14028	hsa00010
K14029	hsa00010
K14085	hsa00010
K15633	hsa00010
K15634	hsa00010
K15635	hsa00010
K15778	hsa00010
K15779	hsa00010
K15916	hsa00010
K16305	hsa00010
K16306	hsa00010
K16370	hsa00010
K18857	hsa00010
K18978	hsa00010
K20118	hsa00010
K20866	hsa00010
K21071	hsa00010
K22224	hsa00010
K22473	hsa00010
K22474	hsa00010
K24012	hsa00010
K24182	hsa00010
K25026	hsa00010
K27394	hsa00010
K00024	hsa00020
K00025	hsa00020
K00026	hsa00020
K00030	hsa00020
K00031	hsa00020
K00116	hsa00020
K00161	hsa00020
K00162	hsa00020
K00163	hsa00020
K00164	hsa00020
K00169	hsa00020
K00170	hsa00020
K00171	hsa00020
K00172	hsa00020
K00174	hsa00020
K00175	hsa00020
