KO	Pathway
K00001	mmu00010
K00002	mmu00010
K00016	mmu00010
K00114	mmu00010
K00121	mmu00010
K00128	mmu00010
K00129	mmu00010
K00131	mmu00010
K00134	mmu00010
K00138	mmu00010
K00149	mmu00010
K00150	mmu00010
K00161	mmu00010
K00162	mmu00010
K00163	mmu00010
K00169	mmu00010
K00170	mmu00010
K00171	mmu00010
K00172	mmu00010
K00174	mmu00010
K00175	mmu00010
K00189	mmu00010
K00382	mmu00010
K00627	mmu00010
K00844	mmu00010
K00845	mmu00010
K00850	mmu00010
K00873	mmu00010
K00886	mmu00010
K00895	mmu00010
K00918	mmu00010
K00927	mmu00010
K01006	mmu00010
K01007	mmu00010
K01084	mmu00010
K01085	mmu00010
K01086	mmu00010
K01222	mmu00010
K01223	mmu00010
K01568	mmu00010
K01596	mmu00010
K01610	mmu00010
K01622	mmu00010
K01623	mmu00010
K01624	mmu00010
K01689	mmu00010
K01785	mmu00010
K01792	mmu00010
K01803	mmu00010
K01810	mmu00010
K01834	mmu00010
K01835	mmu00010
K01837	mmu00010
K01895	mmu00010
K01905	mmu00010
K01913	mmu00010
K02446	mmu00010
K02753	mmu00010
K02777	mmu00010
K02779	mmu00010
K02791	mmu00010
K03103	mmu00010
K03737	mmu00010
K03841	mmu00010
K04022	mmu00010
K04041	mmu00010
K04072	mmu00010
K06859	mmu00010
K08074	mmu00010
K10705	mmu00010
K11389	mmu00010
K11532	mmu00010
K11645	mmu00010
K12406	mmu00010
K12407	mmu00010
K12957	mmu00010
K13810	mmu00010
K13951	mmu00010
K13952	mmu00010
K13953	mmu00010
K13954	mmu00010
K13979	mmu00010
K13980	mmu00010
K14028	mmu00010
K14029	mmu00010
K14085	mmu00010
K15633	mmu00010
K15634	mmu00010
K15635	mmu00010
K15778	mmu00010
K15779	mmu00010
K15916	mmu00010
K16305	mmu00010
K16306	mmu00010
K16370	mmu00010
K18857	mmu00010
K18978	mmu00010
K20118	mmu00010
K20866	mmu00010
K21071	mmu00010
K22224	mmu00010
K22473	mmu00010
K22474	mmu00010
K24012	mmu00010
K24182	mmu00010
K25026	mmu00010
K27394	mmu00010
K00024	mmu00020
K00025	mmu00020
K00026	mmu00020
K00030	mmu00020
K00031	mmu00020
K00116	mmu00020
K00161	mmu00020
K00162	mmu00020
K00163	mmu00020
K00164	mmu00020
K00169	mmu00020
K00170	mmu00020
K00171	mmu00020
K00172	mmu00020
K00174	mmu00020
K00175	mmu00020
K00176	mmu00020
K00177	mmu00020
K00189	mmu00020
K00233	mmu00020
K00234	mmu00020
K00235	mmu00020
K00236	mmu00020
K00237	mmu00020
K00239	mmu00020
K00240	mmu00020
K00241	mmu00020
K00242	mmu00020
K00244	mmu00020
K00245	mmu00020
K00246	mmu00020
K00247	mmu00020
K00382	mmu00020
K00627	mmu00020
K00658	mmu00020
K01596	mmu00020
K01610	mmu00020
K01616	mmu00020
K01647	mmu00020
K01648	mmu00020
K01659	mmu00020
K01675	mmu00020
K01676	mmu00020
K01677	mmu00020
K01678	mmu00020
K01679	mmu00020
K01681	mmu00020
K01682	mmu00020
K01774	mmu00020
K01899	mmu00020
K01900	mmu00020
K01902	mmu00020
K01903	mmu00020
K01958	mmu00020
K01959	mmu00020
K01960	mmu00020
K03737	mmu00020
K05942	mmu00020
K15230	mmu00020
K15231	mmu00020
K17753	mmu00020
K18118	mmu00020
K18859	mmu00020
K18860	mmu00020
K25801	mmu00020
K25995	mmu00020
K25996	mmu00020
K26318	mmu00020
K27797	mmu00020
K27802	mmu00020
K00032	mmu00030
K00033	mmu00030
K00034	mmu00030
K00036	mmu00030
K00090	mmu00030
K00115	mmu00030
K00117	mmu00030
K00131	mmu00030
K00615	mmu00030
K00616	mmu00030
K00850	mmu00030
K00851	mmu00030
K00852	mmu00030
K00874	mmu00030
K00895	mmu00030
K00918	mmu00030
K00948	mmu00030
K01053	mmu00030
K01057	mmu00030
K01086	mmu00030
K01619	mmu00030
K01621	mmu00030
K01622	mmu00030
K01623	mmu00030
K01624	mmu00030
K01625	mmu00030
K01690	mmu00030
K01783	mmu00030
K01807	mmu00030
K01808	mmu00030
K01810	mmu00030
K01835	mmu00030
K01839	mmu00030
K02446	mmu00030
K03738	mmu00030
K03841	mmu00030
K04041	mmu00030
K05308	mmu00030
K05774	mmu00030
K06151	mmu00030
K06152	mmu00030
K06859	mmu00030
K07404	mmu00030
K08093	mmu00030
K08094	mmu00030
K11214	mmu00030
K11395	mmu00030
K11441	mmu00030
K11529	mmu00030
K11532	mmu00030
K11645	mmu00030
K13810	mmu00030
K13812	mmu00030
K13831	mmu00030
K13937	mmu00030
K15778	mmu00030
K15779	mmu00030
K15916	mmu00030
K16305	mmu00030
K16306	mmu00030
K16370	mmu00030
K17463	mmu00030
K17464	mmu00030
K17465	mmu00030
K17466	mmu00030
K17467	mmu00030
K17468	mmu00030
K18020	mmu00030
K18021	mmu00030
K18022	mmu00030
K18124	mmu00030
K18125	mmu00030
K18126	mmu00030
K18127	mmu00030
K18128	mmu00030
K18237	mmu00030
K18978	mmu00030
K19243	mmu00030
K19813	mmu00030
K21056	mmu00030
K21071	mmu00030
K21840	mmu00030
K22199	mmu00030
K22229	mmu00030
K22345	mmu00030
K22969	mmu00030
K24182	mmu00030
K25031	mmu00030
K26208	mmu00030
K00002	mmu00040
