sample_id	group
GSM1228184	case
GSM1228185	case
GSM1228186	case
GSM1228187	case
GSM1228188	case
GSM1228189	case
GSM1228190	case
GSM1228191	case
GSM1228192	case
GSM1228193	case
GSM1228194	case
GSM1228195	case
GSM1228196	case
GSM1228197	case
GSM1228198	case
GSM1228199	case
GSM1228200	case
GSM1228201	case
GSM1228202	control
GSM1228203	control
GSM1228204	control
GSM1228205	control
GSM1228206	control
GSM1228207	control
GSM1228208	control
GSM1228209	control
GSM1228210	control
GSM1228211	control
GSM1228212	control
GSM1228213	control
GSM1228214	control
GSM1228215	control
GSM1228216	control
GSM1228217	control
GSM1228218	control
GSM1228219	control
