gene	GSM1228184	GSM1228185	GSM1228186	GSM1228187	GSM1228188	GSM1228189	GSM1228190	GSM1228191	GSM1228192	GSM1228193	GSM1228194	GSM1228195	GSM1228196	GSM1228197	GSM1228198	GSM1228199	GSM1228200	GSM1228201	GSM1228202	GSM1228203	GSM1228204	GSM1228205	GSM1228206	GSM1228207	GSM1228208	GSM1228209	GSM1228210	GSM1228211	GSM1228212	GSM1228213	GSM1228214	GSM1228215	GSM1228216	GSM1228217	GSM1228218	GSM1228219
EPHB2	4833	5974	2172	4999	10644	4331	445	3263	11091	2192	3099	2750	4160	5280	2189	6029	5757	8680	3602	1699	3404	3580	1981	3375	3810	4544	2300	1130	597	2535	3848	3699	2430	1816	3959	3111
PROM1	2726	4168	2377	1389	2189	2494	52	2479	1806	1817	870	1146	2874	1513	521	4251	1110	1885	2704	1303	3384	1638	2365	2108	2962	1192	2685	3532	249	2438	1040	2094	1342	3491	3372	1553
LEF1	655	338	68	2068	255	43	206	518	492	108	33	683	99	153	163	276	302	162	50	34	85	77	129	107	127	62	68	55	20	353	71	118	43	72	68	41
MYC	18699	16514	1085	11264	5355	1108	1426	3251	8514	2701	1894	3062	1068	6310	2979	13016	5560	8412	2476	759	1626	1439	1035	1940	1250	2646	1655	851	532	2606	1544	2061	1180	2037	1696	924
ASCL2	5538	4713	119	3490	3163	203	28	261	5825	2527	530	3547	418	704	1602	2249	2490	1975	378	129	194	364	126	198	289	325	187	166	39	1612	343	153	198	100	394	314
CD44	4419	10136	2572	11743	9872	2234	4468	8296	5855	1817	1809	4838	2500	15914	7082	1823	4983	6906	3738	967	4111	3023	2093	2660	2248	2196	2205	1030	1811	3384	3098	2945	1612	1861	2689	1677
LGR5	1042	2376	128	1077	95	498	14	535	504	300	188	1705	427	187	182	4222	2168	1642	206	77	164	328	174	260	271	190	179	132	29	328	107	268	175	138	226	176
OLFM4	8565	3740	33820	97788	150835	134011	174	32000	12971	20823	7606	39475	4056	92588	18408	3425	84880	14275	1006	1311	50853	1262	1463	3273	4468	1461	7440	5197	169	43875	855	945	4505	7800	1626	60470
AXIN2	3923	3893	943	10851	12141	1056	412	1884	8614	1876	1516	4389	2392	442	1998	5916	4049	3680	2343	841	1343	1691	756	1796	1582	2286	1410	740	391	5787	1730	1402	1230	878	1696	666
SOX9	3364	3784	991	7211	4460	2822	87	3807	5571	3087	1192	3504	2378	3147	4476	4333	6223	5727	1748	645	1457	1806	1085	2432	1716	1850	1313	1141	282	1485	1402	1167	998	1203	1790	1122
APC	961	1349	1250	998	989	1013	1010	1007	530	495	587	378	1431	1017	768	352	900	394	2007	638	1865	1201	1053	1115	1453	948	1010	548	601	582	688	1080	912	967	1317	781
KRAS	1346	1618	1531	1560	1746	1692	657	1774	642	1118	1201	1149	3255	1322	1745	645	1706	1055	3037	1093	2321	2187	1475	1767	2313	1520	1727	1036	658	1403	1224	1552	1826	1191	2167	1677
TP53	1844	769	1029	4327	1746	1514	939	1020	552	1757	895	2157	1693	3981	2556	1187	2492	1436	1507	660	1585	1427	1005	1569	1615	1575	1211	766	490	1596	1181	1489	991	970	1529	1221
CTNNB1	19318	14724	8514	23810	12603	7769	7902	13525	22808	9924	6587	9664	12797	10859	6999	10735	13383	11183	10460	4040	13739	8710	6504	8241	10047	7002	8681	4984	4387	7865	5538	8525	6761	6748	9798	8144
