GeneID	length	SYMBOL
ENSMUSG00000000001	3262	Gnai3
ENSMUSG00000000003	902	Pbsn
ENSMUSG00000000028	3506	Cdc45
ENSMUSG00000000031	2656	H19
ENSMUSG00000000037	6397	Scml2
ENSMUSG00000000049	1594	Apoh
ENSMUSG00000000056	4806	Narf
ENSMUSG00000000058	3335	Cav2
ENSMUSG00000000078	4391	Klf6
ENSMUSG00000000085	7731	Scmh1
ENSMUSG00000000088	2101	Cox5a
ENSMUSG00000000093	3626	Tbx2
ENSMUSG00000000094	3401	Tbx4
ENSMUSG00000000103	3107	Zfy2
ENSMUSG00000000120	3446	Ngfr
ENSMUSG00000000125	3076	Wnt3
ENSMUSG00000000126	3329	Wnt9a
ENSMUSG00000000127	4680	Fer
ENSMUSG00000000131	16920	Xpo6
ENSMUSG00000000134	9261	Tfe3
ENSMUSG00000000142	5506	Axin2
ENSMUSG00000000148	6179	Brat1
ENSMUSG00000000149	3416	Gna12
ENSMUSG00000000154	1699	Slc22a18
ENSMUSG00000000157	4324	Itgb2l
ENSMUSG00000000159	2523	Igsf5
ENSMUSG00000000167	2813	Pih1d2
ENSMUSG00000000168	4886	Dlat
ENSMUSG00000000171	1231	Sdhd
ENSMUSG00000000182	1814	Fgf23
ENSMUSG00000000183	4657	Fgf6
ENSMUSG00000000184	9409	Ccnd2
ENSMUSG00000000194	12766	Gpr107
ENSMUSG00000000197	14715	Nalcn
ENSMUSG00000000202	3187	Btbd17
ENSMUSG00000000204	3964	Slfn4
ENSMUSG00000000214	2364	Th
ENSMUSG00000000215	1312	Ins2
ENSMUSG00000000216	2991	Scnn1g
ENSMUSG00000000223	8553	Drp2
ENSMUSG00000000244	6234	Tspan32
ENSMUSG00000000247	4393	Lhx2
ENSMUSG00000000248	2847	Clec2g
ENSMUSG00000000253	2323	Gmpr
ENSMUSG00000000263	2414	Glra1
ENSMUSG00000000266	8114	Mid2
ENSMUSG00000000275	5754	Trim25
ENSMUSG00000000276	8387	Dgke
ENSMUSG00000000278	2097	Scpep1
ENSMUSG00000000282	4627	Mnt
ENSMUSG00000000290	3052	Itgb2
ENSMUSG00000000295	3508	Hddc2
ENSMUSG00000000296	1323	Tpd52l1
ENSMUSG00000000301	2104	Pemt
ENSMUSG00000000303	4574	Cdh1
ENSMUSG00000000305	7257	Cdh4
ENSMUSG00000000308	2496	Ckmt1
ENSMUSG00000000317	3719	Bcl6b
ENSMUSG00000000318	2899	Clec10a
ENSMUSG00000000320	4085	Alox12
ENSMUSG00000000326	2532	Comt
ENSMUSG00000000339	1880	Rtca
ENSMUSG00000000340	3348	Dbt
ENSMUSG00000000346	2900	Dazap2
ENSMUSG00000000355	1571	Mcts1
ENSMUSG00000000359	2156	Rem1
ENSMUSG00000000365	6241	Rnf17
ENSMUSG00000000374	8128	Trappc10
ENSMUSG00000000378	3666	Ccm2
ENSMUSG00000000381	1008	Wap
ENSMUSG00000000384	3696	Tbrg4
ENSMUSG00000000385	7302	Tmprss2
ENSMUSG00000000386	3371	Mx1
ENSMUSG00000000392	5662	Fap
ENSMUSG00000000394	1494	Gcg
ENSMUSG00000000399	2101	Ndufa9
ENSMUSG00000000402	2704	Egfl6
ENSMUSG00000000409	2929	Lck
ENSMUSG00000000411	1280	Tssk3
ENSMUSG00000000416	8829	Cttnbp2
ENSMUSG00000000420	5519	Galnt1
ENSMUSG00000000435	2083	Myf5
ENSMUSG00000000439	7005	Mkrn2
ENSMUSG00000000440	2953	Pparg
ENSMUSG00000000441	6845	Raf1
ENSMUSG00000000486	2763	Septin1
ENSMUSG00000000489	4161	Pdgfb
ENSMUSG00000000530	4265	Acvrl1
ENSMUSG00000000531	2033	Tamalin
ENSMUSG00000000532	4418	Acvr1b
ENSMUSG00000000538	8764	Tom1l2
ENSMUSG00000000544	2742	Gpa33
ENSMUSG00000000552	2515	Zfp385a
ENSMUSG00000000555	4933	Itga5
ENSMUSG00000000560	7640	Gabra2
ENSMUSG00000000561	4841	Wdr77
ENSMUSG00000000562	3729	Adora3
ENSMUSG00000000563	4105	Atp5pb
ENSMUSG00000000567	4135	Sox9
ENSMUSG00000000568	7354	Hnrnpd
ENSMUSG00000000579	3777	Dynlt1c
ENSMUSG00000000581	3995	C1d
ENSMUSG00000000594	4127	Gm2a
ENSMUSG00000000600	21853	Krit1
ENSMUSG00000000605	8575	Clcn4
ENSMUSG00000000606	4573	Vmn2r88
ENSMUSG00000000617	5421	Grm6
ENSMUSG00000000627	5290	Sema4f
ENSMUSG00000000628	5969	Hk2
ENSMUSG00000000631	16037	Myo18a
ENSMUSG00000000632	5779	Sez6
ENSMUSG00000000673	4681	Haao
ENSMUSG00000000682	1187	Cd52
ENSMUSG00000000686	3035	Abhd15
ENSMUSG00000000690	1964	Hoxb6
ENSMUSG00000000693	4603	Loxl3
ENSMUSG00000000701	1055	Tcl1b5
ENSMUSG00000000706	4119	Btn1a1
ENSMUSG00000000708	4867	Kat2b
ENSMUSG00000000711	4201	Rab5b
ENSMUSG00000000724	1594	Cryba1
ENSMUSG00000000730	2988	Dnmt3l
ENSMUSG00000000731	3825	Aire
ENSMUSG00000000732	4620	Icosl
ENSMUSG00000000738	4518	Spg7
ENSMUSG00000000739	4419	Sult5a1
ENSMUSG00000000740	2595	Rpl13
ENSMUSG00000000743	3272	Chmp1a
ENSMUSG00000000751	5578	Rpa1
ENSMUSG00000000753	2359	Serpinf1
ENSMUSG00000000759	8568	Tubgcp3
ENSMUSG00000000766	8037	Oprm1
ENSMUSG00000000776	2854	Polr3d
ENSMUSG00000000782	3019	Tcf7
ENSMUSG00000000787	5277	Ddx3x
ENSMUSG00000000791	4105	Il12rb1
ENSMUSG00000000792	2928	Slc5a5
ENSMUSG00000000794	10451	Kcnn3
ENSMUSG00000000804	7680	Usp32
ENSMUSG00000000805	1966	Car4
ENSMUSG00000000811	2836	Txnrd3
ENSMUSG00000000817	1937	Fasl
ENSMUSG00000000823	6810	Zfp512b
ENSMUSG00000000826	6953	Dnajc5
ENSMUSG00000000827	4982	Tpd52l2
ENSMUSG00000000838	8966	Fmr1
ENSMUSG00000000861	13175	Bcl11a
ENSMUSG00000000869	1227	Il4
ENSMUSG00000000876	3114	Pxmp4
ENSMUSG00000000881	5844	Dlg3
ENSMUSG00000000884	4219	Gnb1l
ENSMUSG00000000889	2692	Dbh
ENSMUSG00000000901	2778	Mmp11
ENSMUSG00000000902	7930	Smarcb1
ENSMUSG00000000903	859	Vpreb3
ENSMUSG00000000915	7369	Hip1r
ENSMUSG00000000916	4317	Nsun5
ENSMUSG00000000934	2043	Top1mt
ENSMUSG00000000938	3270	Hoxa10
ENSMUSG00000000942	1594	Hoxa4
ENSMUSG00000000948	5216	Gm38393
ENSMUSG00000000957	5960	Mmp14
ENSMUSG00000000958	3315	Slc7a7
ENSMUSG00000000959	4457	Oxa1l
ENSMUSG00000000976	6419	Heatr6
ENSMUSG00000000982	766	Ccl3
ENSMUSG00000000983	1220	Wfdc18
ENSMUSG00000001014	1110	Icam4
ENSMUSG00000001016	8580	Ilf2
ENSMUSG00000001017	3637	Chtop
ENSMUSG00000001018	2290	Snapin
ENSMUSG00000001020	584	S100a4
ENSMUSG00000001021	2670	S100a3
ENSMUSG00000001023	432	S100a5
ENSMUSG00000001025	1367	S100a6
ENSMUSG00000001027	7041	Scn4a
ENSMUSG00000001029	1904	Icam2
ENSMUSG00000001034	4394	Mapk7
ENSMUSG00000001036	5228	Epn2
ENSMUSG00000001039	1593	B9d1
ENSMUSG00000001052	6020	Sec24b
ENSMUSG00000001053	2728	N4bp3
ENSMUSG00000001054	2161	Rmnd5b
ENSMUSG00000001056	1146	Nhp2
ENSMUSG00000001062	5153	Vps9d1
ENSMUSG00000001065	5530	Zfp276
ENSMUSG00000001076	1474	C1ql4
