GeneID	length	SYMBOL
ENSG00000000003	4530	TSPAN6
ENSG00000000005	1476	TNMD
ENSG00000000419	9276	DPM1
ENSG00000000457	6883	SCYL3
ENSG00000000460	5970	FIRRM
ENSG00000000938	3382	FGR
ENSG00000000971	15284	CFH
ENSG00000001036	2822	FUCA2
ENSG00000001084	8618	GCLC
ENSG00000001167	6209	NFYA
ENSG00000001460	8511	STPG1
ENSG00000001461	9396	NIPAL3
ENSG00000001497	12555	LAS1L
ENSG00000001561	4644	ENPP4
ENSG00000001617	4826	SEMA3F
ENSG00000001626	16821	CFTR
ENSG00000001629	7389	ANKIB1
ENSG00000001630	4171	CYP51A1
ENSG00000001631	21110	KRIT1
ENSG00000002016	4503	RAD52
ENSG00000002079	5836	MYH16
ENSG00000002330	1708	BAD
ENSG00000002549	3779	LAP3
ENSG00000002586	4858	CD99
ENSG00000002587	7435	HS3ST1
ENSG00000002726	3786	AOC1
ENSG00000002745	3264	WNT16
ENSG00000002746	13935	HECW1
ENSG00000002822	6955	MAD1L1
ENSG00000002834	7061	LASP1
ENSG00000002919	4133	SNX11
ENSG00000002933	3477	TMEM176A
ENSG00000003056	3585	M6PR
ENSG00000003096	6928	KLHL13
ENSG00000003137	4839	CYP26B1
ENSG00000003147	4883	ICA1
ENSG00000003249	4462	DBNDD1
ENSG00000003393	33513	ALS2
ENSG00000003400	8920	CASP10
ENSG00000003402	22478	CFLAR
ENSG00000003436	11714	TFPI
ENSG00000003509	3651	NDUFAF7
ENSG00000003756	10357	RBM5
ENSG00000003987	6928	MTMR7
ENSG00000003989	7905	SLC7A2
ENSG00000004059	1825	ARF5
ENSG00000004139	11105	SARM1
ENSG00000004142	2670	POLDIP2
ENSG00000004399	9557	PLXND1
ENSG00000004455	17967	AK2
ENSG00000004468	6857	CD38
ENSG00000004478	5163	FKBP4
ENSG00000004487	18325	KDM1A
ENSG00000004534	7299	RBM6
ENSG00000004660	7433	CAMKK1
ENSG00000004700	3779	RECQL
ENSG00000004766	9559	VPS50
ENSG00000004776	1724	HSPB6
ENSG00000004777	5260	ARHGAP33
ENSG00000004779	1548	NDUFAB1
ENSG00000004799	4544	PDK4
ENSG00000004809	3907	SLC22A16
ENSG00000004838	2889	ZMYND10
ENSG00000004846	8796	ABCB5
ENSG00000004848	3114	ARX
ENSG00000004864	3710	SLC25A13
ENSG00000004866	6526	ST7
ENSG00000004897	6824	CDC27
